"id","gender","stress","time","score"
"1","male","low","t1",5.96441720164937
"2","male","low","t1",5.50657396554231
"3","male","low","t1",5.62501062771096
"4","male","low","t1",5.71024305190449
"5","male","low","t1",5.73634974475987
"6","male","low","t1",5.61641761417494
"7","male","low","t1",5.47680328011556
"8","male","low","t1",5.6447515132814
"9","male","low","t1",6.05753090437143
"10","male","low","t1",5.86404774121016
"11","male","moderate","t1",5.85
"12","male","moderate","t1",5.53562027048183
"13","male","moderate","t1",5.58
"14","male","moderate","t1",5.57120759846614
"15","male","moderate","t1",5.95760048654012
"16","male","moderate","t1",6.01232634669313
"17","male","moderate","t1",5.67286364723427
"18","male","moderate","t1",5.57244826752305
"19","male","moderate","t1",5.90607271066881
"20","male","moderate","t1",5.51776799564603
"21","male","high","t1",5.23330415893836
"22","male","high","t1",5.56202493110911
"23","male","high","t1",5.38173609095303
"24","male","high","t1",5.58805724298595
"25","male","high","t1",5.47926448764907
"26","male","high","t1",5.61378995881666
"27","male","high","t1",5.48564833445523
"28","male","high","t1",5.46696659968291
"29","male","high","t1",5.60257034572684
"30","male","high","t1",5.38036355008169
"31","female","low","t1",5.74607035036606
"32","female","low","t1",5.76806754312046
"33","female","low","t1",5.54518272616967
"34","female","low","t1",5.62869802155992
"35","female","low","t1",5.52269100228505
"36","female","low","t1",5.85296540825277
"37","female","low","t1",5.50678846664831
"38","female","low","t1",5.70326816416478
"39","female","low","t1",5.50477169839163
"40","female","low","t1",5.47539595918256
"41","female","moderate","t1",5.98040957815654
"42","female","moderate","t1",5.64148262047434
"43","female","moderate","t1",6.05733960557955
"44","female","moderate","t1",5.6172515031491
"45","female","moderate","t1",5.56978019672521
"46","female","moderate","t1",5.70323002107497
"47","female","moderate","t1",6.14667050398325
"48","female","moderate","t1",5.87748542243276
"49","female","moderate","t1",5.82982036882316
"50","female","moderate","t1",5.96087199339609
"51","female","high","t1",5.5939561046018
"52","female","high","t1",5.48683893187112
"53","female","high","t1",5.45290697775858
"54","female","high","t1",5.65951892094466
"55","female","high","t1",5.27370367818802
"56","female","high","t1",5.36844920024448
"57","female","high","t1",5.48955933566602
"58","female","high","t1",5.76524431593043
"59","female","high","t1",5.578023923381
"60","female","high","t1",5.42201295126497
"1","male","low","t2",5.57850585322235
"2","male","low","t2",5.81992428318327
"3","male","low","t2",5.47141388313787
"4","male","low","t2",5.78659332920036
"5","male","low","t2",5.71853801856482
"6","male","low","t2",5.68065556372394
"7","male","low","t2",5.59887083207767
"8","male","low","t2",5.91988996650622
"9","male","low","t2",5.83934182016264
"10","male","low","t2",5.57320173115368
"11","male","moderate","t2",5.74542992569027
"12","male","moderate","t2",5.77710378828397
"13","male","moderate","t2",5.52808195879967
"14","male","moderate","t2",5.67225166720636
"15","male","moderate","t2",5.97748540956874
"16","male","moderate","t2",5.85501933580209
"17","male","moderate","t2",5.57690639797782
"18","male","moderate","t2",5.7805405879613
"19","male","moderate","t2",5.75799181054298
"20","male","moderate","t2",6.0162347033946
"21","male","high","t2",5.6356319931412
"22","male","high","t2",5.29531580356626
"23","male","high","t2",5.40987398120293
"24","male","high","t2",5.82207540995163
"25","male","high","t2",5.73697499362872
"26","male","high","t2",5.86454499397386
"27","male","high","t2",5.59192638773452
"28","male","high","t2",5.45954099764116
"29","male","high","t2",5.73058628159792
"30","male","high","t2",5.8277690393412
"31","female","low","t2",5.7556315481118
"32","female","low","t2",5.90801179626508
"33","female","low","t2",5.70092036247053
"34","female","low","t2",5.73527287562618
"35","female","low","t2",5.5716216758183
"36","female","low","t2",6.1510155351378
"37","female","low","t2",5.9
"38","female","low","t2",5.69463959038983
"39","female","low","t2",5.6601705206242
"40","female","low","t2",5.74090126222776
"41","female","moderate","t2",5.48266143210856
"42","female","moderate","t2",5.96245558032523
"43","female","moderate","t2",5.45673240200814
"44","female","moderate","t2",5.53588861182904
"45","female","moderate","t2",5.50918934603675
"46","female","moderate","t2",5.9167764288954
"47","female","moderate","t2",5.6
"48","female","moderate","t2",5.3866336793301
"49","female","moderate","t2",6.01579705093652
"50","female","moderate","t2",5.31691496542793
"51","female","high","t2",5.06128026225216
"52","female","high","t2",5.09609191796647
"53","female","high","t2",5.3693730774767
"54","female","high","t2",5.35933522177747
"55","female","high","t2",5.24522351861588
"56","female","high","t2",5.76930179206597
"57","female","high","t2",5.61940555500776
"58","female","high","t2",5.43376078410202
"59","female","high","t2",5.32733032789831
"60","female","high","t2",5.07994231025289
